Name,StdMode,Shape,Weight,Anicount,Source,Reserved,Looks,DuraMax,Need,NeedLevel,Price,Stock,Color,OverLap,Job,CustomItem,Note
精制·火葫芦,65,0,1,0,0,0,10029,8000,0,1,10000,5,10,0,0,0,法师火系分支
淬火·火葫芦,65,0,1,0,0,0,10030,8000,0,1,10000,5,11,0,0,0,法师火系分支
成名·火葫芦,65,0,1,0,0,0,10031,8000,0,1,10000,5,13,0,0,0,法师火系分支
压轴·火葫芦,65,0,1,0,0,0,10032,8000,0,1,10000,5,215,0,0,0,法师火系分支
封顶·火葫芦,65,0,1,0,0,0,10033,8000,0,1,10000,5,249,0,0,0,法师火系分支
粗坯·小冰箱,65,0,1,0,0,0,10049,8000,0,1,10000,5,7,0,0,0,法师冰系分支
精制·小冰箱,65,0,1,0,0,0,10050,8000,0,1,10000,5,10,0,0,0,法师冰系分支
淬火·小冰箱,65,0,1,0,0,0,10051,8000,0,1,10000,5,11,0,0,0,法师冰系分支
成名·小冰箱,65,0,1,0,0,0,10052,8000,0,1,10000,5,13,0,0,0,法师冰系分支
压轴·小冰箱,65,0,1,0,0,0,10053,8000,0,1,10000,5,215,0,0,0,法师冰系分支
封顶·小冰箱,65,0,1,0,0,0,10054,8000,0,1,10000,5,249,0,0,0,法师冰系分支
粗坯·养娃人,65,0,1,0,0,0,10056,8000,0,1,10000,5,7,0,0,0,道士召唤分支
精制·养娃人,65,0,1,0,0,0,10057,8000,0,1,10000,5,10,0,0,0,道士召唤分支
淬火·养娃人,65,0,1,0,0,0,10058,8000,0,1,10000,5,11,0,0,0,道士召唤分支
成名·养娃人,65,0,1,0,0,0,10059,8000,0,1,10000,5,13,0,0,0,道士召唤分支
压轴·养娃人,65,0,1,0,0,0,10060,8000,0,1,10000,5,215,0,0,0,道士召唤分支
封顶·养娃人,65,0,1,0,0,0,10061,8000,0,1,10000,5,249,0,0,0,道士召唤分支
粗坯·奶不死,65,0,1,0,0,0,10035,8000,0,1,10000,5,7,0,0,0,道士辅助分支
精制·奶不死,65,0,1,0,0,0,10036,8000,0,1,10000,5,10,0,0,0,道士辅助分支
淬火·奶不死,65,0,1,0,0,0,10037,8000,0,1,10000,5,11,0,0,0,道士辅助分支
成名·奶不死,65,0,1,0,0,0,10038,8000,0,1,10000,5,13,0,0,0,道士辅助分支
压轴·奶不死,65,0,1,0,0,0,10039,8000,0,1,10000,5,215,0,0,0,道士辅助分支
封顶·奶不死,65,0,1,0,0,0,10040,8000,0,1,10000,5,249,0,0,0,道士辅助分支
粗坯·毒嘴子,65,0,1,0,0,0,10014,8000,0,1,10000,5,7,0,0,0,道士伤害分支
精制·毒嘴子,65,0,1,0,0,0,10015,8000,0,1,10000,5,10,0,0,0,道士伤害分支
淬火·毒嘴子,65,0,1,0,0,0,10016,8000,0,1,10000,5,11,0,0,0,道士伤害分支
成名·毒嘴子,65,0,1,0,0,0,10017,8000,0,1,10000,5,13,0,0,0,道士伤害分支
压轴·毒嘴子,65,0,1,0,0,0,10018,8000,0,1,10000,5,215,0,0,0,道士伤害分支
封顶·毒嘴子,65,0,1,0,0,0,10019,8000,0,1,10000,5,249,0,0,0,道士伤害分支
