Name,Class,HP_old,HP_new,AC_old,AC_new,MAC_old,MAC_new,DC_old,DC_new,DCMAX_old,DCMAX_new,MC_old,MC_new,SC_old,SC_new,SPEED_old,SPEED_new,HIT_old,HIT_new,WALK_SPD_old,WALK_SPD_new
骷髅精灵,boss,500,1000,5,10,4,8,7,14,24,48,0,0,0,0,15,30,14,28,1200,1000
骷髅精灵9,normal,800,1200,0,0,100,150,0,0,60,90,0,0,0,0,17,26,14,21,600,500
骷髅精灵1,normal,800,1200,0,0,100,150,0,0,60,90,0,0,0,0,17,26,20,30,600,500
骷髅精灵2,normal,350,525,5,8,5,8,0,0,15,23,0,0,0,0,17,26,20,30,600,500
洞蛆,normal,65,98,0,0,0,0,6,9,8,12,0,0,0,0,12,18,12,18,1000,833
多钩猫,normal,22,33,0,0,0,0,2,3,4,6,0,0,0,0,12,18,5,8,1500,1250
多钩猫0,normal,22,33,0,0,0,0,2,3,4,6,0,0,0,0,12,18,7,11,1500,1250
钉耙猫,normal,23,35,0,0,0,0,2,3,4,6,0,0,0,0,12,18,5,8,1500,1250
钉耙猫0,normal,23,35,0,0,0,0,2,3,4,6,0,0,0,0,12,18,7,11,1500,1250
稻草人,normal,15,23,0,0,0,0,1,2,2,3,0,0,0,0,10,15,5,8,1500,1250
稻草人0,normal,15,23,0,0,0,0,1,2,2,3,0,0,0,0,10,15,7,11,1500,1250
稻草人1,normal,1000,1500,30,45,30,45,0,0,90,135,0,0,0,0,17,26,20,30,600,500
沃玛战士,normal,265,398,3,5,2,3,14,21,28,42,0,0,0,0,15,23,13,20,1000,833
沃玛战士0,normal,265,398,3,5,2,3,14,21,28,42,0,0,0,0,15,23,15,23,1000,833
沃玛勇士,normal,285,428,3,5,2,3,16,24,28,42,0,0,0,0,15,23,13,20,1000,833
沃玛勇士0,normal,285,428,3,5,2,3,16,24,28,42,0,0,0,0,15,23,15,23,1000,833
沃玛战将,normal,285,428,3,5,2,3,15,23,29,44,0,0,0,0,15,23,13,20,1000,833
沃玛战将0,normal,285,428,3,5,2,3,15,23,29,44,0,0,0,0,15,23,15,23,1000,833
火焰沃玛,normal,340,510,0,0,0,0,14,21,26,39,0,0,0,0,20,30,20,30,800,667
火焰沃玛0,normal,340,510,0,0,0,0,14,21,26,39,0,0,0,0,20,30,20,30,800,667
火焰沃玛2,normal,300,450,0,0,0,0,14,21,26,39,0,0,0,0,20,30,20,30,800,667
沃玛卫士,normal,1000,1500,8,12,8,12,22,33,42,63,0,0,0,0,20,30,17,26,800,667
沃玛卫士1,normal,600,900,20,30,20,30,0,0,50,75,0,0,0,0,17,26,20,30,600,500
沃玛卫士2,normal,1000,1500,50,75,50,75,10,15,25,38,0,0,0,0,17,26,20,30,500,417
暗之沃玛教主5,normal,2200,3300,17,26,17,26,35,53,60,90,0,0,0,0,30,45,20,30,800,667
沃玛教主,boss,2200,4400,17,34,17,34,35,70,60,120,0,0,0,0,30,60,20,40,800,667
沃玛教主1,normal,100,150,0,0,0,0,0,0,20,30,0,0,0,0,17,26,20,30,600,500
暗黑战士,normal,165,248,3,5,2,3,9,14,16,24,0,0,0,0,15,23,15,23,900,750
暗黑战士0,normal,165,248,3,5,2,3,9,14,16,24,0,0,0,0,15,23,17,26,900,750
粪虫,normal,155,233,3,5,2,3,9,14,17,26,0,0,0,0,15,23,12,18,1500,1250
粪虫0,normal,155,233,3,5,2,3,9,14,17,26,0,0,0,0,15,23,14,21,1500,1250
僵尸1,normal,155,233,0,0,0,0,12,18,16,24,0,0,0,0,13,20,13,20,2000,1667
僵尸10,normal,155,233,0,0,0,0,12,18,16,24,0,0,0,0,13,20,15,23,2000,1667
僵尸2,normal,155,233,2,3,1,2,8,12,17,26,0,0,0,0,15,23,13,20,2000,1667
僵尸20,normal,155,233,2,3,1,2,8,12,17,26,0,0,0,0,15,23,15,23,2000,1667
僵尸3,normal,155,233,2,3,1,2,6,9,17,26,0,0,0,0,15,23,12,18,2000,1667
僵尸30,normal,155,233,2,3,1,2,6,9,17,26,0,0,0,0,15,23,14,21,2000,1667
僵尸4,normal,155,233,2,3,1,2,6,9,17,26,0,0,0,0,15,23,12,18,2000,1667
僵尸40,normal,155,233,2,3,1,2,6,9,17,26,0,0,0,0,15,23,14,21,2000,1667
僵尸5,normal,155,233,2,3,1,2,6,9,17,26,0,0,0,0,15,23,12,18,1500,1250
僵尸50,normal,155,233,2,3,1,2,6,9,17,26,0,0,0,0,15,23,14,21,1500,1250
尸王,boss,500,1000,3,6,3,6,18,36,36,72,0,0,0,0,15,30,15,30,1500,1250
尸王1,normal,800,1200,100,150,0,0,0,0,60,90,0,0,0,0,17,26,20,30,600,500
尸王2,boss,500,1000,3,6,3,6,18,36,36,72,0,0,0,0,15,30,15,30,1200,1000
红蛇,normal,50,75,0,0,2,3,7,11,12,18,0,0,0,0,15,23,11,17,1200,1000
红蛇0,normal,50,75,0,0,2,3,7,11,12,18,0,0,0,0,15,23,13,20,1200,1000
练功师,normal,9999,14999,0,0,0,0,1,2,1,2,0,0,0,0,15,23,15,23,1200,1000
变异骷髅,normal,60,90,12,18,20,30,20,30,30,45,0,0,0,0,22,33,17,26,500,417
虎蛇,normal,53,80,0,0,2,3,10,15,11,17,0,0,0,0,15,23,12,18,1200,1000
虎蛇0,normal,53,80,0,0,2,3,10,15,11,17,0,0,0,0,15,23,14,21,1200,1000
羊,normal,20,30,0,0,0,0,1,2,3,5,0,0,0,0,10,15,7,11,1400,1167
猎鹰,normal,38,57,0,0,0,0,7,11,10,15,0,0,0,0,40,60,15,23,1200,1000
猎鹰0,normal,38,57,0,0,0,0,7,11,10,15,0,0,0,0,40,60,17,26,1200,1000
盔甲虫,normal,50,75,0,0,0,0,4,6,10,15,0,0,0,0,12,18,7,11,1200,1000
盔甲虫0,normal,50,75,0,0,0,0,4,6,10,15,0,0,0,0,12,18,9,14,1200,1000
威思而小虫,normal,50,75,2,3,1,2,6,9,9,14,0,0,0,0,15,23,12,18,1000,833
沙虫,normal,54,81,0,0,0,0,8,12,11,17,0,0,0,0,15,23,13,20,1000,833
多角虫,normal,52,78,0,0,0,0,7,11,8,12,0,0,0,0,13,20,10,15,1300,1083
多角虫0,normal,52,78,0,0,0,0,7,11,8,12,0,0,0,0,13,20,12,18,1300,1083
巨型多角虫,normal,250,375,0,0,0,0,7,11,15,23,0,0,0,0,13,20,12,18,1000,833
巨型多角虫[变异],normal,900,1350,0,0,100,150,0,0,80,120,0,0,0,0,17,26,20,30,600,500
巨型多角虫2,normal,280,420,5,8,5,8,0,0,15,23,0,0,0,0,15,23,20,30,600,500
狼,normal,48,72,0,0,0,0,6,9,8,12,0,0,0,0,13,20,10,15,1200,1000
蜈蚣,normal,230,345,0,0,5,8,12,18,18,27,0,0,0,0,15,23,13,20,1500,1250
蜈蚣0,normal,230,345,0,0,5,8,12,18,18,27,0,0,0,0,15,23,15,23,1500,1250
触龙神,boss,1000,2000,0,0,200,400,15,30,30,60,0,0,0,0,15,30,15,30,1000,833
黑色恶蛆,normal,230,345,5,8,0,0,10,15,15,23,0,0,0,0,15,23,13,20,500,417
黑色恶蛆0,normal,230,345,5,8,0,0,10,15,15,23,0,0,0,0,15,23,15,23,500,417
钳虫,normal,270,405,5,8,7,11,15,23,25,38,0,0,0,0,15,23,13,20,1500,1250
钳虫0,normal,270,405,5,8,7,11,15,23,25,38,0,0,0,0,15,23,15,23,1500,1250
邪恶钳虫9,normal,1000,1500,20,30,10,15,22,33,45,68,0,0,0,0,15,23,17,26,700,583
邪恶钳虫,normal,1000,1500,20,30,10,15,22,33,45,68,0,0,0,0,15,23,17,26,700,583
邪恶钳虫1,normal,600,900,20,30,20,30,0,0,50,75,0,0,0,0,17,26,20,30,600,500
跳跳蜂,normal,200,300,3,5,3,5,12,18,18,27,0,0,0,0,15,23,13,20,1500,1250
跳跳蜂0,normal,200,300,3,5,3,5,12,18,18,27,0,0,0,0,15,23,15,23,1500,1250
巨型蠕虫,normal,200,300,3,5,3,5,15,23,18,27,0,0,0,0,15,23,13,20,1200,1000
巨型蠕虫0,normal,200,300,3,5,3,5,15,23,18,27,0,0,0,0,15,23,15,23,1200,1000
角蝇,normal,200,300,0,0,6,9,0,0,0,0,0,0,0,0,1,2,1,2,1200,1000
蝙蝠,normal,3,5,0,0,0,0,0,0,22,33,0,0,0,0,5,8,18,27,1200,1000
楔蛾,normal,220,330,0,0,5,8,13,20,18,27,0,0,0,0,15,23,12,18,600,500
红野猪,normal,330,495,0,0,8,12,18,27,25,38,0,0,0,0,15,23,13,20,1200,1000
红野猪0,normal,330,495,0,0,8,12,18,27,25,38,0,0,0,0,15,23,15,23,1200,1000
黑野猪,normal,310,465,10,15,0,0,20,30,26,39,0,0,0,0,15,23,13,20,800,667
黑野猪0,normal,310,465,10,15,0,0,20,30,26,39,0,0,0,0,15,23,15,23,800,667
白野猪,normal,1000,1500,15,23,15,23,30,45,55,83,0,0,0,0,25,38,17,26,800,667
白野猪0,normal,1000,1500,15,23,25,38,10,15,100,150,0,0,0,0,25,38,17,26,800,667
白野猪1,normal,400,600,0,0,0,0,0,0,40,60,0,0,0,0,17,26,20,30,600,500
蝎蛇,normal,330,495,5,8,3,5,22,33,28,42,0,0,0,0,15,23,13,20,600,500
蝎蛇0,normal,330,495,5,8,3,5,22,33,28,42,0,0,0,0,15,23,15,23,600,500
邪恶毒蛇,normal,1100,1650,20,30,20,30,30,45,55,83,0,0,0,0,25,38,17,26,800,667
邪恶毒蛇1,normal,200,300,0,0,0,0,0,0,30,45,0,0,0,0,17,26,20,30,600,500
大老鼠,normal,385,578,3,5,5,8,12,18,23,35,0,0,0,0,15,23,12,18,1200,1000
大老鼠0,normal,385,578,3,5,5,8,12,18,23,35,0,0,0,0,15,23,14,21,1200,1000
祖玛弓箭手,normal,385,578,10,15,10,15,12,18,18,27,0,0,0,0,15,23,15,23,1000,833
祖玛弓箭手0,normal,385,578,10,15,10,15,12,18,18,27,0,0,0,0,15,23,17,26,1000,833
祖玛弓箭手[变异],normal,800,1200,15,23,15,23,24,36,36,54,0,0,0,0,15,23,17,26,900,750
祖玛雕像,normal,495,743,12,18,12,18,20,30,32,48,0,0,0,0,17,26,15,23,900,750
祖玛雕像0,normal,495,743,12,18,12,18,20,30,32,48,0,0,0,0,17,26,17,26,900,750
祖玛雕像[变异],normal,900,1350,20,30,20,30,40,60,64,96,0,0,0,0,17,26,17,26,700,583
祖玛卫士,normal,495,743,15,23,15,23,22,33,34,51,0,0,0,0,17,26,15,23,700,583
祖玛卫士0,normal,495,743,15,23,15,23,22,33,34,51,0,0,0,0,17,26,17,26,700,583
祖玛卫士[变异],normal,1000,1500,25,38,25,38,44,66,68,102,0,0,0,0,17,26,17,26,500,417
祖玛卫士[头目],normal,1400,2100,15,23,20,30,35,53,60,90,0,0,0,0,25,38,18,27,700,583
祖玛教主9,normal,3000,4500,20,30,20,30,40,60,65,98,0,0,0,0,200,300,200,300,100,83
祖玛教主,boss,3000,6000,20,40,20,40,40,80,65,130,0,0,0,0,32,64,30,60,300,250
弓箭手,normal,2000,3000,20,30,20,30,15,23,30,45,0,0,0,0,18,27,15,23,500,417
护卫,normal,1000,1500,15,23,15,23,17,26,32,48,0,0,0,0,18,27,15,23,500,417
MainDoor,normal,10000,15000,20,30,20,30,0,0,0,0,0,0,0,0,15,23,1,2,1000,833
LeftWall,normal,5000,7500,20,30,99,149,0,0,0,0,0,0,0,0,15,23,1,2,1000,833
CenterWall,normal,5000,7500,20,30,99,149,0,0,0,0,0,0,0,0,15,23,1,2,1000,833
RightWall,normal,5000,7500,20,30,99,149,0,0,0,0,0,0,0,0,15,23,1,2,1000,833
弓箭守卫,normal,2000,3000,15,23,15,23,30,45,45,68,0,0,0,0,18,27,15,23,500,417
神兽,normal,500,750,25,38,20,30,20,30,30,45,0,0,0,0,20,30,25,38,0,0
神兽1,normal,500,750,35,53,35,53,30,45,45,68,0,0,0,0,45,68,45,68,0,0
雕,normal,500,750,3,5,6,9,18,27,36,54,0,0,0,0,40,60,15,23,1200,1000
夕,normal,2500,3750,30,45,35,53,50,75,60,90,0,0,0,0,45,68,35,53,1500,1250
夕0,normal,2500,3750,30,45,35,53,50,75,60,90,0,0,0,0,45,68,35,53,1500,1250
足球,normal,2500,3750,200,300,200,300,0,0,0,0,0,0,0,0,25,38,35,53,2500,2083
双头血魔,boss,5000,10000,40,80,10,20,80,160,150,300,0,0,0,0,20,40,30,60,1000,833
双头血魔9,normal,5000,7500,40,60,10,15,80,120,150,225,0,0,0,0,20,30,30,45,1000,833
双头金刚,normal,5000,7500,5,8,50,75,100,150,100,150,0,0,0,0,25,38,30,45,1000,833
双头金刚9,normal,5000,7500,5,8,50,75,100,150,100,150,0,0,0,0,25,38,30,45,1000,833
血巨人,normal,1200,1800,15,23,30,45,35,53,70,105,0,0,0,0,20,30,17,26,800,667
血巨人0,normal,1200,1800,15,23,30,45,35,53,70,105,0,0,0,0,20,30,17,26,800,667
邪恶巨人,normal,2000,3000,14,21,16,24,29,44,52,78,0,0,0,0,14,21,16,24,500,417
邪恶巨人0,normal,2000,3000,14,21,16,24,29,44,52,78,0,0,0,0,14,21,16,24,500,417
月魔蜘蛛,normal,850,1275,12,18,28,42,27,41,27,41,0,0,0,0,20,30,50,75,400,333
月魔蜘蛛0,normal,850,1275,12,18,28,42,27,41,27,41,0,0,0,0,20,30,50,75,400,333
黑锷蜘蛛,normal,1200,1800,11,17,30,45,15,23,75,113,0,0,0,0,17,26,17,26,500,417
黑锷蜘蛛0,normal,1200,1800,11,17,30,45,15,23,75,113,0,0,0,0,17,26,17,26,500,417
蜘蛛雷0,normal,3000,4500,8,12,15,23,20,30,60,90,0,0,0,0,15,23,15,23,1000,833
蜘蛛雷,normal,3000,4500,8,12,15,23,20,30,60,90,0,0,0,0,15,23,15,23,1000,833
钢牙蜘蛛,normal,800,1200,13,20,33,50,35,53,50,75,0,0,0,0,17,26,20,30,1000,833
钢牙蜘蛛0,normal,800,1200,13,20,33,50,35,53,50,75,0,0,0,0,17,26,20,30,1000,833
天狼蜘蛛,normal,500,750,8,12,20,30,22,33,34,51,0,0,0,0,17,26,15,23,700,583
天狼蜘蛛0,normal,500,750,8,12,20,30,22,33,34,51,0,0,0,0,17,26,15,23,700,583
花吻蜘蛛,normal,750,1125,12,18,27,41,20,30,60,90,0,0,0,0,25,38,17,26,1000,833
花吻蜘蛛0,normal,750,1125,12,18,27,41,20,30,60,90,0,0,0,0,25,38,17,26,1000,833
赤月恶魔,boss,5000,10000,18,36,30,60,50,100,85,170,0,0,0,0,25,50,25,50,0,0
赤月恶魔9,normal,5000,7500,18,27,30,45,50,75,85,128,0,0,0,0,25,38,25,38,0,0
爆裂蜘蛛,normal,10,15,0,0,0,0,30,45,30,45,0,0,0,0,30,45,30,45,500,417
爆裂蜘蛛0,normal,10,15,0,0,0,0,30,45,30,45,0,0,0,0,30,45,30,45,500,417
带刀护卫1,normal,9999,14999,0,0,300,450,200,300,200,300,200,300,200,300,0,0,200,300,500,417
飞火流星,normal,9999,14999,200,300,200,300,0,0,0,0,0,0,0,0,10,15,10,15,400,333
多钩猫王,boss,1200,2400,15,30,25,50,20,40,130,260,0,0,0,0,20,40,45,90,1500,1250
钉耙猫王,boss,1200,2400,15,30,25,50,20,40,130,260,0,0,0,0,20,40,45,90,1500,1250
雪人王,boss,1300,2600,20,40,20,40,80,160,80,160,0,0,0,0,15,30,45,90,2500,2083
剧毒蜘蛛,normal,1200,1800,5,8,10,15,20,30,30,45,0,0,0,0,15,23,45,68,2300,1917
地狱犬,normal,1400,2100,10,15,20,30,50,75,80,120,0,0,0,0,20,30,50,75,1800,1500
神鹰,normal,2000,3000,17,26,17,26,50,75,80,120,0,0,0,0,20,30,50,75,1800,1500
红蛇王,normal,1500,2250,15,23,15,23,60,90,60,90,0,0,0,0,35,53,35,53,1600,1333
虎蛇王,normal,1500,2250,15,23,15,23,60,90,60,90,0,0,0,0,35,53,35,53,1600,1333
变异史莱姆,normal,1500,2250,10,15,15,23,30,45,60,90,0,0,0,0,25,38,35,53,2200,1833
蜈蚣王,normal,1300,1950,15,23,25,38,40,60,80,120,0,0,0,0,30,45,60,90,2000,1667
蝎子王,normal,800,1200,45,68,10,15,25,38,50,75,0,0,0,0,12,18,30,45,2100,1750
雪蚕王,normal,1800,2700,15,23,15,23,40,60,40,60,0,0,0,0,18,27,38,57,2300,1917
蛤蟆王,normal,2300,3450,20,30,25,38,50,75,120,180,0,0,0,0,40,60,70,105,1900,1583
电僵王,normal,3000,4500,10,15,15,23,20,30,140,210,0,0,0,0,50,75,50,75,1300,1083
楔蛾王,normal,3000,4500,10,15,20,30,30,45,80,120,0,0,0,0,50,75,50,75,1300,1083
暗之触龙神,normal,2200,3300,40,60,40,60,25,38,140,210,0,0,0,0,15,23,15,23,1000,833
半兽勇士9,normal,300,450,0,0,0,0,15,23,32,48,0,0,0,0,15,23,13,20,1500,1250
邪恶钳虫2,normal,1000,1500,20,30,10,15,22,33,45,68,0,0,0,0,15,23,17,26,700,583
红野猪3,normal,500,750,4,6,12,18,22,33,29,44,0,0,0,0,15,23,15,23,1200,1000
黑野猪3,normal,500,750,14,21,4,6,24,36,30,45,0,0,0,0,15,23,15,23,800,667
蝎蛇3,normal,500,750,9,14,7,11,26,39,32,48,0,0,0,0,15,23,15,23,600,500
幻影蜘蛛,normal,300,450,10,15,23,35,0,0,0,0,0,0,0,0,1,2,1,2,0,0
幻影蜘蛛1,normal,2200,3300,10,15,23,35,0,0,0,0,0,0,0,0,1,2,1,2,0,0
血金刚,normal,900,1350,12,18,16,24,29,44,49,74,0,0,0,0,22,33,18,27,700,583
带刀护卫,normal,9999,14999,0,0,300,450,150,225,150,225,200,300,200,300,0,0,200,300,500,417
赤血恶魔,normal,900,1350,12,18,16,24,29,44,49,74,0,0,0,0,22,33,18,27,700,583
灰血恶魔,normal,900,1350,12,18,16,24,29,44,49,74,0,0,0,0,22,33,18,27,700,583
赤月恶魔1,normal,500,750,10,15,10,15,20,30,60,90,0,0,0,0,25,38,25,38,0,0
暴牙蜘蛛,normal,500,750,12,18,30,45,22,33,34,51,0,0,0,0,17,26,17,26,700,583
暴牙蜘蛛0,normal,500,750,12,18,30,45,22,33,34,51,0,0,0,0,17,26,17,26,700,583
血僵尸,normal,1200,1800,18,27,30,45,35,53,50,75,0,0,0,0,10,15,25,38,600,500
血僵尸0,normal,1200,1800,18,27,30,45,35,53,50,75,0,0,0,0,10,15,25,38,600,500
半兽统领,normal,700,1050,12,18,25,38,24,36,36,54,0,0,0,0,15,23,17,26,600,500
半兽统领9,normal,700,1050,12,18,25,38,24,36,36,54,0,0,0,0,15,23,17,26,600,500
刀卫,normal,800,1200,15,23,18,27,24,36,36,54,0,0,0,0,15,23,17,26,900,750
鹰卫,normal,1500,2250,15,23,18,27,30,45,50,75,0,0,0,0,20,30,15,23,500,417
虎卫,normal,400,600,15,23,10,15,25,38,35,53,0,0,0,0,18,27,15,23,500,417
人质,normal,60,90,10,15,10,15,0,0,0,0,0,0,0,0,22,33,15,23,1000,833
神兽0,normal,2400,3600,8,12,6,9,6,9,41,62,0,0,0,0,15,23,15,23,1500,1250
石墓尸王,boss,5000,10000,20,40,18,36,80,160,150,300,0,0,0,0,20,40,30,60,1000,833
蜜蜂,normal,200,300,3,5,3,5,12,18,18,27,0,0,0,0,15,23,13,20,1500,1250
变异骷髅0,normal,700,1050,12,18,24,36,25,38,36,54,0,0,0,0,15,23,17,26,600,500
神兽2,normal,495,743,15,23,15,23,22,33,34,51,0,0,0,0,17,26,15,23,700,583
白野猪300,normal,1000,1500,15,23,15,23,30,45,55,83,0,0,0,0,25,38,17,26,800,667
雪球,normal,9999,14999,200,300,200,300,0,0,0,0,0,0,0,0,10,15,10,15,400,333
雪球1,normal,10,15,0,0,0,0,0,0,0,0,0,0,0,0,15,23,15,23,500,417
圣诞驯鹿,normal,9999,14999,200,300,200,300,0,0,0,0,0,0,0,0,10,15,10,15,400,333
雪球2,normal,385,578,3,5,5,8,12,18,23,35,0,0,0,0,15,23,12,18,1200,1000
雪球3,normal,1000,1500,15,23,15,23,30,45,55,83,0,0,0,0,25,38,17,26,800,667
雪球4,normal,5000,7500,18,27,30,45,50,75,85,128,0,0,0,0,25,38,25,38,800,667
虹魔猪卫,boss,1500,3000,20,40,20,40,40,80,60,120,0,0,0,0,25,50,17,34,800,667
虹魔猪卫0,normal,1500,2250,20,30,20,30,40,60,60,90,0,0,0,0,25,38,17,26,800,667
虹魔蝎卫,boss,2000,4000,25,50,25,50,45,90,65,130,0,0,0,0,25,50,17,34,800,667
虹魔蝎卫0,normal,2000,3000,25,38,25,38,45,68,65,98,0,0,0,0,25,38,17,26,800,667
虹魔教主,boss,5000,10000,25,50,30,60,60,120,100,200,0,0,0,0,20,40,30,60,1000,833
虹魔教主0,normal,5000,7500,25,38,30,45,60,90,80,120,0,0,0,0,20,30,30,45,1000,833
恶魔弓箭手,normal,2000,3000,15,23,15,23,20,30,35,53,0,0,0,0,18,27,15,23,500,417
恶魔卫士,normal,9999,14999,0,0,300,450,10,15,10,15,10,15,10,15,0,0,200,300,500,417
千年树妖,boss,1800,3600,10,20,10,20,20,40,60,120,0,0,0,0,25,50,25,50,0,0
虹魔猪卫9,normal,1500,2250,20,30,20,30,40,60,60,90,0,0,0,0,25,38,17,26,800,667
恶灵僵尸,normal,180,270,1,2,3,5,10,15,20,30,0,0,0,0,15,23,15,23,2000,1667
恶灵僵尸0,normal,180,270,1,2,3,5,10,15,20,30,0,0,0,0,15,23,15,23,2000,1667
恶灵尸王,normal,500,750,4,6,8,12,17,26,45,68,0,0,0,0,18,27,15,23,1500,1250
恶灵尸王0,normal,500,750,4,6,8,12,17,26,45,68,0,0,0,0,18,27,15,23,1500,1250
骷髅锤兵,normal,390,585,6,9,9,14,24,36,35,53,0,0,0,0,15,23,13,20,700,583
骷髅锤兵0,normal,390,585,6,9,9,14,24,36,35,53,0,0,0,0,15,23,13,20,700,583
骷髅长枪兵,normal,390,585,0,0,12,18,20,30,30,45,0,0,0,0,15,23,13,20,1300,1083
骷髅长枪兵0,normal,390,585,0,0,12,18,20,30,30,45,0,0,0,0,15,23,13,20,1300,1083
骷髅刀斧手,normal,440,660,9,14,0,0,24,36,31,47,0,0,0,0,15,23,13,20,1300,1083
骷髅刀斧手0,normal,440,660,9,14,0,0,24,36,31,47,0,0,0,0,15,23,13,20,1300,1083
骷髅弓箭手,normal,190,285,0,0,0,0,12,18,28,42,0,0,0,0,20,30,20,30,1000,833
骷髅弓箭手0,normal,190,285,0,0,0,0,12,18,28,42,0,0,0,0,20,30,20,30,1000,833
黄泉教主,boss,3000,6000,18,36,22,44,35,70,70,140,0,0,0,0,25,50,17,34,800,667
牛头魔,normal,330,495,0,0,8,12,15,23,25,38,0,0,0,0,15,23,13,20,1400,1167
牛头魔0,normal,330,495,0,0,8,12,15,23,25,38,0,0,0,0,15,23,13,20,1400,1167
牛魔战士,normal,420,630,2,3,8,12,15,23,30,45,0,0,0,0,18,27,14,21,1300,1083
牛魔战士0,normal,420,630,2,3,8,12,15,23,30,45,0,0,0,0,18,27,14,21,1300,1083
牛魔斗士,normal,460,690,7,11,10,15,20,30,38,57,0,0,0,0,18,27,15,23,1300,1083
牛魔斗士0,normal,460,690,7,11,10,15,20,30,38,57,0,0,0,0,18,27,15,23,1300,1083
牛魔侍卫,normal,500,750,10,15,18,27,26,39,44,66,0,0,0,0,17,26,15,23,1000,833
牛魔侍卫0,normal,500,750,10,15,18,27,26,39,48,72,0,0,0,0,17,26,15,23,1000,833
牛魔将军,normal,750,1125,12,18,21,32,32,48,50,75,0,0,0,0,22,33,17,26,800,667
牛魔将军0,normal,750,1125,12,18,21,32,32,48,60,90,0,0,0,0,22,33,17,26,800,667
牛魔法师,normal,360,540,12,18,15,23,14,21,28,42,0,0,0,0,18,27,18,27,1200,1000
牛魔法师0,normal,360,540,12,18,15,23,14,21,35,53,0,0,0,0,18,27,18,27,1200,1000
牛魔祭司,normal,750,1125,16,24,16,24,25,38,42,63,0,0,0,0,22,33,17,26,1200,1000
牛魔祭司0,normal,750,1125,16,24,16,24,25,38,45,68,0,0,0,0,22,33,17,26,1000,833
牛魔王,boss,3600,7200,20,40,28,56,45,90,80,160,0,0,0,0,32,64,30,60,600,500
